object	parent_dir	type_obj	size
ps5_r2_lg.png	\images\api\dark	file	4925
ps5_r2_md.png	\images\api\dark	file	2642
ps5_r2_sm.png	\images\api\dark	file	806
ps5_r2_soft.svg	\images\api\dark	file	1868
ps5_r2_soft_lg.png	\images\api\dark	file	6135
ps5_r2_soft_md.png	\images\api\dark	file	3317
ps5_r2_soft_sm.png	\images\api\dark	file	1128
ps5_trackpad.svg	\images\api\dark	file	552
ps5_trackpad_click.svg	\images\api\dark	file	1405
ps5_trackpad_click_lg.png	\images\api\dark	file	6907
ps5_trackpad_click_md.png	\images\api\dark	file	3490
ps5_trackpad_click_sm.png	\images\api\dark	file	824
ps5_trackpad_down.svg	\images\api\dark	file	795
ps5_trackpad_down_lg.png	\images\api\dark	file	3505
ps5_trackpad_down_md.png	\images\api\dark	file	1867
ps5_trackpad_down_sm.png	\images\api\dark	file	550
ps5_trackpad_left.svg	\images\api\dark	file	460
ps5_trackpad_left_lg.png	\images\api\dark	file	3061
ps5_trackpad_left_md.png	\images\api\dark	file	1510
ps5_trackpad_left_sm.png	\images\api\dark	file	503
ps5_trackpad_lg.png	\images\api\dark	file	2495
ps5_trackpad_l_click.svg	\images\api\dark	file	1552
ps5_trackpad_l_click_lg.png	\images\api\dark	file	7180
ps5_trackpad_l_click_md.png	\images\api\dark	file	3587
ps5_trackpad_l_click_sm.png	\images\api\dark	file	907
ps5_trackpad_l_down.svg	\images\api\dark	file	686
ps5_trackpad_l_down_lg.png	\images\api\dark	file	3067
ps5_trackpad_l_down_md.png	\images\api\dark	file	1742
ps5_trackpad_l_down_sm.png	\images\api\dark	file	506
ps5_trackpad_l_left.svg	\images\api\dark	file	549
ps5_trackpad_l_left_lg.png	\images\api\dark	file	2909
ps5_trackpad_l_left_md.png	\images\api\dark	file	1660
ps5_trackpad_l_left_sm.png	\images\api\dark	file	603
ps5_trackpad_l_right.svg	\images\api\dark	file	726
ps5_trackpad_l_right_lg.png	\images\api\dark	file	2947
ps5_trackpad_l_right_md.png	\images\api\dark	file	1613
ps5_trackpad_l_right_sm.png	\images\api\dark	file	601
ps5_trackpad_l_ring.svg	\images\api\dark	file	1095
ps5_trackpad_l_ring_lg.png	\images\api\dark	file	4214
ps5_trackpad_l_ring_md.png	\images\api\dark	file	2135
ps5_trackpad_l_ring_sm.png	\images\api\dark	file	596
ps5_trackpad_l_swipe.svg	\images\api\dark	file	1935
ps5_trackpad_l_swipe_lg.png	\images\api\dark	file	5322
ps5_trackpad_l_swipe_md.png	\images\api\dark	file	3035
ps5_trackpad_l_swipe_sm.png	\images\api\dark	file	783
ps5_trackpad_l_touch.svg	\images\api\dark	file	1097
ps5_trackpad_l_touch_lg.png	\images\api\dark	file	5138
ps5_trackpad_l_touch_md.png	\images\api\dark	file	2601
ps5_trackpad_l_touch_sm.png	\images\api\dark	file	742
ps5_trackpad_l_up.svg	\images\api\dark	file	720
ps5_trackpad_l_up_lg.png	\images\api\dark	file	3072
ps5_trackpad_l_up_md.png	\images\api\dark	file	1684
ps5_trackpad_l_up_sm.png	\images\api\dark	file	499
ps5_trackpad_md.png	\images\api\dark	file	1265
ps5_trackpad_right.svg	\images\api\dark	file	445
ps5_trackpad_right_lg.png	\images\api\dark	file	3107
ps5_trackpad_right_md.png	\images\api\dark	file	1604
ps5_trackpad_right_sm.png	\images\api\dark	file	499
ps5_trackpad_ring.svg	\images\api\dark	file	1123
ps5_trackpad_ring_lg.png	\images\api\dark	file	4368
ps5_trackpad_ring_md.png	\images\api\dark	file	2259
ps5_trackpad_ring_sm.png	\images\api\dark	file	606
ps5_trackpad_r_click.svg	\images\api\dark	file	1891
ps5_trackpad_r_click_lg.png	\images\api\dark	file	7465
ps5_trackpad_r_click_md.png	\images\api\dark	file	3729
ps5_trackpad_r_click_sm.png	\images\api\dark	file	913
ps5_trackpad_r_down.svg	\images\api\dark	file	690
ps5_trackpad_r_down_lg.png	\images\api\dark	file	3050
ps5_trackpad_r_down_md.png	\images\api\dark	file	1697
ps5_trackpad_r_down_sm.png	\images\api\dark	file	517
ps5_trackpad_r_left.svg	\images\api\dark	file	722
ps5_trackpad_r_left_lg.png	\images\api\dark	file	2805
ps5_trackpad_r_left_md.png	\images\api\dark	file	1540
ps5_trackpad_r_left_sm.png	\images\api\dark	file	592
ps5_trackpad_r_right.svg	\images\api\dark	file	558
ps5_trackpad_r_right_lg.png	\images\api\dark	file	2745
ps5_trackpad_r_right_md.png	\images\api\dark	file	1528
ps5_trackpad_r_right_sm.png	\images\api\dark	file	569
ps5_trackpad_r_ring.svg	\images\api\dark	file	1097
